id,age,visits,totalspend
2427,19,3,58.84
4518,23,6,209.21
2066,27,7,214.6
4275,34,5,155.76
2151,53,2,110.13
2038,29,5,141.55
3762,36,8,324.98
5617,32,2,56.52
1540,28,3,97.82
2529,37,10,290.54
4798,20,4,122.06
6161,37,3,75.63
3346,51,3,169.04
2037,46,5,222.53
3526,16,6,104.47
7464,39,8,281.04
7590,39,6,202.09
7627,20,6,202.14
4983,30,5,181.04
3577,74,1,39.8
5813,28,3,77.22
3097,35,9,385.09
3257,34,6,264.67
5792,29,3,96.01
1318,16,3,66.45
2102,33,10,457.24
2131,33,4,138.29
1571,28,4,105.45
1079,29,6,160.39
4624,24,9,280.63
7986,29,7,199.13
5940,34,3,118.4
7844,33,10,356.19
4600,58,4,227.54
2104,17,5,110.2
4614,20,2,68.98
1235,31,4,161.07
7505,66,1,47.14
5872,16,2,34.36
3277,40,1,40.3
1825,25,3,103
2473,29,4,139.11
6525,24,2,71.63
1681,51,2,111.53
5418,16,6,138.93
7008,29,4,110.52
7948,23,4,112.81
6604,53,2,112.33
3424,19,4,77.63
7775,31,7,233.75
3013,22,5,147.81
2598,33,6,239.52
1543,52,5,282.28
5838,34,5,137.86
2097,37,5,197.21
6659,31,6,260.46
7515,54,5,268.45
6753,37,4,159.69
7163,38,5,153.01
3347,50,3,169.89
2398,44,6,233.11
4115,39,4,172.93
5760,26,5,145.32
7327,31,6,230.98
4882,17,3,70.82
4176,36,4,128.32
3751,26,3,80.34
1761,39,7,258.82
5565,51,4,221.6
1270,25,2,63.61
3350,33,8,299.87
5708,29,2,63.57
7227,30,5,184.89
7965,35,5,189.19
5802,34,8,172.87
3960,26,5,144.29
7955,43,4,156.28
6673,38,7,220.95
1595,48,4,154.71
2423,31,2,79
7991,70,2,90.32
5994,18,2,38.84
5097,27,6,192.05
4234,38,4,149.52
7741,36,7,273.47
7913,33,6,212.47
3977,20,7,201.22
1222,25,2,74.42
3775,25,6,153.87
2407,31,8,301
1500,30,8,257.73
5121,20,1,28.53
6471,43,3,118.69
1198,36,6,246.86
7933,50,2,103.62
3869,35,5,157.03
6543,25,4,116.72
4191,55,2,111.86
6390,22,10,309.84
3133,22,6,167.56
3871,18,2,46.62
4503,56,4,228.46
4188,56,8,429.83
2056,37,6,155.38
6787,37,5,189.2
7299,36,5,172.33
7078,18,6,122.93
1375,16,5,91.77
6949,28,2,65.12
7272,33,4,144.23
4975,38,6,262.28
1506,36,9,276.23
4312,26,6,200.47
4338,17,4,73.82
3259,22,7,219.49
1323,31,6,192.97
6365,32,5,133.62
1267,55,2,112.89
5659,31,7,240.86
5707,56,4,235.31
3022,31,6,196.18
4109,27,6,188.03
2429,28,4,116.9
6250,45,6,238.59
2249,30,10,308.14
2493,54,3,164.12
2419,30,4,157.62
4457,35,5,186.19
5801,54,3,158.51
6784,25,5,147
2550,30,3,120.73
4016,24,7,199.71
3664,40,7,275.71
2525,24,5,132.99
6935,29,6,171.6
5812,29,6,196.08
2833,27,7,240.82
4428,21,5,138.32
1137,34,8,318.44
3079,33,8,296.27
3185,34,6,189.63
3098,57,4,230.4
5661,50,3,171.11
1248,34,6,234.01
6991,39,6,223.95
2291,37,6,159.83
1640,35,8,202.56
4163,35,9,347.38
4214,35,8,314.66
1626,48,4,182.49
6540,71,3,155.87
4938,40,5,233.65
6908,29,4,121.72
1618,32,5,143.39
4150,34,2,76.21
4514,31,6,281.91
4155,55,3,167.07
1028,27,5,176.12
2194,39,7,263.91
3855,37,9,365.88
1373,20,6,171.7
7073,17,4,83.86
7178,34,4,121.77
5438,22,8,239.89
5541,34,5,183.5
2475,17,2,30.84
4754,32,5,209.08
4812,41,4,167.6
4202,45,3,121.58
4380,26,3,88.53
3422,74,2,92.38
2078,52,2,104.83
5299,26,4,99.61
1783,49,4,171.77
6393,31,3,131.48
5021,38,6,221.89
4530,18,3,66.67
5625,39,12,415.54
1638,34,7,250.74
2779,30,6,197.76
4932,29,7,183.01
