year,GDP
1955,9707
1956,9825
1957,9971
1958,10061
1959,10430
1960,11001
1961,11202
1962,11219
1963,11689
1964,12271
1965,12448
1966,12573
1967,12846
1968,13484
1969,13681
1970,14006
1971,14434
1972,15009
1973,15948
1974,15545
1975,15314
1976,15778
1977,16170
1978,16848
1979,17456
1980,17070
1981,16943
1982,17297
1983,18016
1984,18389
1985,19098
1986,19656
1987,20672
1988,21787
1989,22257
1990,22335
1991,21993
1992,22006
1993,22484
1994,23271
1995,23773
1996,24292
1997,25419
1998,26149
1999,26835
2000,27725
2001,28191
2002,28666
2003,29401
2004,29936
2005,30477
2006,31052
2007,31502
2008,31170
2009,29636
2010,30027
2011,30212
2012,30454
2013,30836
2014,31517
2015,32088
2016,32546
2017,33043
2018,33388
2019,33763
2020,30461
2021,32514
